Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Abhishek Upare,Crusaders,All-Rounder,Right-arm Leg Break,RHB,5,15.197,4.558,0.634,20.389
MANOJ UPADHYAY,Crusaders,All-Rounder,Right-arm medium,RHB,5,5.542,11.372,0.280,17.194
Ashish Naik,Kondhana Warriors,Opening batter,Right-arm Leg Break,RHB,4,6.391,6.874,0.502,13.767
Rohit Akhade,Kondhana Warriors,,Right-arm medium,RHB,4,4.943,6.910,0.700,12.553
Sagar Shelar,Snipers,All-Rounder,Right-arm fast,RHB,4,3.930,6.520,0.000,10.450
Onkar,Crusaders,Bowler,Right-arm medium,RHB,5,2.625,7.416,0.000,10.041
Atharva M,Snipers,All-Rounder,Right-arm fast,RHB,4,4.896,4.543,0.280,9.719
Dinesh,Snipers,,Right-arm medium,RHB,4,4.383,4.980,0.000,9.363
Tanishq Wagh,Snipers,All-Rounder,Right-arm medium,RHB,4,2.849,6.244,0.000,9.093
Chandrakant Vipat,Titans,,Right-arm fast,RHB,3,1.509,5.228,0.000,6.737
Lavin Raheja,Kondhana Warriors,Opening batter,Right-arm medium,RHB,4,3.733,2.464,0.000,6.197
Tanishq Paithankar,Kondhana Warriors,,Right-arm fast,RHB,4,1.645,4.350,0.000,5.995
Raman Toshniwal,Kondhana Warriors,All-Rounder,Right-arm fast,RHB,2,2.666,2.466,0.700,5.832
Aniruddha Kudal,Titans,Middle-order batter,Right-arm fast,RHB,3,1.220,4.150,0.280,5.650
Aditya Agrawal,Crusaders,,Right-arm fast,RHB,4,1.933,3.033,0.000,4.966
Abhay Patil,Titans,,Right-arm fast,RHB,3,4.935,-0.028,0.000,4.907
Arya K,Crusaders,,Right-arm fast,RHB,3,0.099,3.837,0.130,4.066
Prasad,Snipers,All-Rounder,Right-arm fast,RHB,4,0.099,3.833,0.000,3.932
Ashish Makwana,Titans,,Right-arm fast,RHB,3,1.090,2.680,0.130,3.900
Kishor Wagh,Titans,None,Right-arm medium,RHB,3,0.290,2.583,0.074,2.947
Manoj Wagh,Crusaders,,Right-arm medium,RHB,4,2.435,0.000,0.130,2.565
Siva Varigala (VVS),Snipers,All-Rounder,Right-arm medium,RHB,2,2.182,0.000,0.224,2.406
Shree,Titans,,Right-arm fast,RHB,2,2.348,0.000,0.000,2.348
Abhishek Achari,Kondhana Warriors,,Right-arm medium,RHB,3,0.000,2.055,0.224,2.279
Vinay Satam,Kondhana Warriors,All-Rounder,Right-arm medium,RHB,1,1.870,0.000,0.000,1.870
Suhas Agawane,Snipers,,Right-arm medium,LHB,2,0.097,1.509,0.000,1.606
Pritam Pashankar,Titans,,Left-arm medium,LHB,1,1.459,0.000,0.000,1.459
Ramchandra Patil,Kondhana Warriors,,Right-arm fast,RHB,4,0.095,1.029,0.280,1.404
Dilip Achari,Crusaders,,Right-arm fast,RHB,1,0.482,0.000,0.000,0.482
Amit Kesharkar,Crusaders,None,Right-arm medium,RHB,3,0.097,-0.112,0.130,0.115
Jagdeep Deogade,Snipers,None,Right-arm fast,RHB,1,0.099,-0.037,0.000,0.062
