Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Abhishek Upare,Shouting Eagles,All-Rounder,Right-arm Leg Break,RHB,7,11.664,7.898,1.400,20.962
Rohit Akhade,Shouting Eagles,,Right-arm medium,RHB,7,7.893,10.552,0.840,19.285
Atharva M,Super Kings,All-Rounder,Right-arm fast,RHB,6,13.404,5.094,0.280,18.778
Prashant K,Super Kings,All-Rounder,Right-arm fast,RHB,6,8.245,7.326,2.828,18.399
Abhay Patil,Shouting Eagles,,Right-arm fast,RHB,7,8.319,9.491,0.504,18.314
Onkar,Super Kings,Bowler,Right-arm medium,RHB,6,4.617,10.815,0.980,16.412
Sagar Shelar,Unicorns,All-Rounder,Right-arm fast,RHB,5,5.161,8.685,0.280,14.126
Aniruddha Kudal,Pirates,Middle-order batter,Right-arm fast,RHB,6,12.310,1.219,0.000,13.529
Aditya Agrawal,Unicorns,,Right-arm fast,RHB,5,0.787,11.161,0.130,12.078
Kishor Wagh,Swaggers,None,Right-arm medium,RHB,4,6.554,4.812,0.000,11.366
Ashish Naik,Pirates,Opening batter,Right-arm Leg Break,RHB,6,6.566,4.202,0.280,11.048
Manoj Wagh,Swaggers,,Right-arm medium,RHB,3,3.319,7.065,0.000,10.384
Arya K,Shouting Eagles,,Right-arm fast,RHB,7,0.219,8.340,1.680,10.239
Kishore Soni,Swaggers,,Right-arm fast,RHB,4,5.211,4.444,0.560,10.215
Shree,Pirates,,Right-arm fast,RHB,6,4.430,3.511,1.400,9.341
Raju Dhale,Pirates,,Right-arm fast,RHB,6,0.754,8.350,0.000,9.104
Lavin Raheja,Unicorns,Opening batter,Right-arm medium,RHB,5,3.714,3.591,1.680,8.985
Siva Varigala (VVS),Swaggers,All-Rounder,Right-arm medium,RHB,4,3.363,4.990,0.000,8.353
Akshay Upare,Shouting Eagles,,Right-arm medium,RHB,7,0.000,6.592,0.560,7.152
Chandrakant Vipat,Super Kings,,Right-arm fast,RHB,3,0.000,7.103,0.000,7.103
Abhishek Achari,Unicorns,,Right-arm medium,RHB,5,3.667,2.643,0.168,6.478
Tanishq Wagh,Super Kings,All-Rounder,Right-arm medium,RHB,4,0.384,5.054,0.280,5.718
Pratik Zagade,Swaggers,None,Right-arm fast,RHB,4,0.000,5.546,0.000,5.546
Raman Toshniwal,Shouting Eagles,All-Rounder,Right-arm fast,RHB,5,4.795,0.000,0.560,5.355
Suhas Agawane,Pirates,,Right-arm medium,LHB,6,0.000,5.158,0.000,5.158
Non Striker,Super Kings,,Right-arm fast,RHB,3,0.954,4.017,0.000,4.971
Vinay Satam,Pirates,All-Rounder,Right-arm medium,RHB,5,4.668,0.000,0.280,4.948
MANOJ UPADHYAY,Unicorns,All-Rounder,Right-arm medium,RHB,5,2.386,2.307,0.224,4.917
Dinesh,Super Kings,,Right-arm medium,RHB,4,2.190,1.345,0.000,3.535
Kaushlendra Singh,Shouting Eagles,,Right-arm fast,RHB,5,3.453,0.000,0.000,3.453
Amit Kesharkar,Pirates,None,Right-arm medium,RHB,3,0.095,2.818,0.280,3.193
Ashish Makwana,Swaggers,,Right-arm fast,RHB,2,2.523,-0.103,0.560,2.980
Abhishek satam,Unicorns,None,Right-arm medium,RHB,3,1.685,0.117,0.000,1.802
Shripad K,Super Kings,,Right-arm Off Break,RHB,2,0.000,0.000,1.624,1.624
Jagdeep Deogade,Pirates,None,Right-arm fast,RHB,3,0.000,0.119,1.400,1.519
Pritesh Sail,Unicorns,,Right-arm medium,RHB,2,1.391,0.000,0.000,1.391
Dilip Achari,Super Kings,,Right-arm fast,RHB,3,1.031,0.000,0.000,1.031
Amar Toshniwal,Shouting Eagles,,Right-arm medium,RHB,1,0.292,0.000,0.000,0.292
Vatsal,Super Kings,,,,1,0.000,0.000,0.280,0.280
Shaurya Dayma,Unicorns,None,None,RHB,1,0.000,0.000,0.280,0.280
Pritam Pashankar,Swaggers,,Left-arm medium,LHB,1,0.000,0.000,0.224,0.224
Digesh Panchal,Pirates,,Right-arm medium,RHB,1,0.098,0.000,0.000,0.098
Ayush M,Shouting Eagles,,Right-arm fast,RHB,1,0.095,0.000,0.000,0.095
Aniket Wadkar,Swaggers,,Left-arm medium,LHB,2,0.098,-0.047,0.000,0.051
