Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Abhishek Upare,Yoddha,All-Rounder,Right-arm Leg Break,RHB,6,25.800,12.462,0.000,38.262
Kishore Soni,Mighty Bulls,,Right-arm fast,RHB,7,26.303,7.690,1.204,35.197
Krushna Malpani,Mighty Bulls,All-Rounder,Right-arm medium,RHB,7,17.100,8.320,4.144,29.564
Atharva M,Power Hitters,All-Rounder,Right-arm fast,RHB,6,8.795,9.003,3.360,21.158
Lavin Raheja,Mighty Bulls,Opening batter,Right-arm medium,RHB,7,10.100,7.557,3.080,20.737
Shubham Chougule,Power Hitters,All-Rounder,Right-arm fast,RHB,6,5.363,8.821,3.640,17.824
Abhay Patil,Yoddha,,Right-arm fast,RHB,6,3.300,9.402,3.108,15.810
Saurabh Mantri,Power Hitters,Top-order batter,Right-arm fast,RHB,6,12.700,3.051,0.000,15.751
Aniruddha Kudal,Stormbreakers,Middle-order batter,Right-arm fast,RHB,5,11.090,1.961,1.540,14.591
Ballal Sanket,Stormbreakers,Middle-order batter,Right-arm fast,RHB,5,2.705,7.968,0.700,11.373
Akshay Upare,Power Hitters,,Right-arm medium,RHB,6,7.935,2.881,0.280,11.096
Yogesh Angulwa,Yoddha,Top-order batter,Right-arm medium,RHB,6,6.927,3.408,0.560,10.895
Prathamesh Upare,Yoddha,All-Rounder,Right-arm fast,RHB,6,5.500,3.339,1.820,10.659
Rohit Akhade,Mighty Bulls,,Right-arm medium,RHB,7,1.800,8.485,0.280,10.565
Ashish Naik,Phoenix Fury,Opening batter,Right-arm Leg Break,RHB,4,5.200,3.179,1.680,10.059
Onkar,Power Hitters,Bowler,Right-arm medium,RHB,6,5.600,3.573,0.840,10.013
Vinay Satam,Fiercey Tigers,All-Rounder,Right-arm medium,RHB,3,7.600,1.528,0.000,9.128
Suhas Agawane,Stormbreakers,,Right-arm medium,LHB,5,1.400,6.410,0.840,8.650
Aditya Agrawal,Stormbreakers,,Right-arm fast,RHB,5,3.300,2.498,2.800,8.598
Siva Varigala (VVS),Phoenix Fury,All-Rounder,Right-arm medium,RHB,4,4.327,2.952,0.980,8.259
Kishor Wagh,Fiercey Tigers,None,Right-arm medium,RHB,4,5.844,2.138,0.000,7.982
Yogesh Rane ,Stormbreakers,,Right-arm medium,RHB,4,5.663,1.295,0.000,6.958
Arham Lunawat,Power Hitters,,Right-arm medium,RHB,6,0.000,3.617,2.520,6.137
Digesh Panchal,Mighty Bulls,,Right-arm medium,RHB,5,1.507,4.159,0.224,5.890
Shripad K,Stormbreakers,,Right-arm Off Break,RHB,4,1.063,2.784,1.960,5.807
Hemant Chaudhari,Mighty Bulls,,Right-arm medium,RHB,7,0.000,5.291,0.000,5.291
Bhushan Ladda,Phoenix Fury,,Right-arm fast,RHB,4,3.808,1.435,0.000,5.243
Amit Kesharkar,Phoenix Fury,None,Right-arm medium,RHB,4,2.598,2.561,0.000,5.159
DrSuhas Dhekane,Fiercey Tigers,,Right-arm Leg Break,RHB,4,0.200,4.573,0.000,4.773
Raju Dhale,Yoddha,,Right-arm fast,RHB,5,0.100,4.060,0.280,4.440
Pavan Dayama,Yoddha,All-Rounder,Right-arm medium,RHB,6,3.332,-0.079,1.120,4.373
Aniket Wadkar,Phoenix Fury,,Left-arm medium,LHB,4,2.312,1.304,0.700,4.316
Abhishek Achari,Mighty Bulls,,Right-arm medium,RHB,7,0.000,2.858,0.970,3.828
Tanishq Wagh,Yoddha,All-Rounder,Right-arm medium,RHB,5,0.100,2.634,1.008,3.742
Pritesh Sail,Power Hitters,,Right-arm medium,RHB,4,0.800,1.346,1.400,3.546
Sagar Shelar,Fiercey Tigers,All-Rounder,Right-arm fast,RHB,4,3.400,0.086,0.000,3.486
Ashish Makwana,Phoenix Fury,,Right-arm fast,RHB,2,0.300,2.690,0.000,2.990
Dilip Achari,Yoddha,,Right-arm fast,RHB,4,1.452,1.446,0.000,2.898
Raman Toshniwal,Phoenix Fury,All-Rounder,Right-arm fast,RHB,4,2.317,0.165,0.000,2.482
Dinesh,Stormbreakers,,Right-arm medium,RHB,3,0.600,1.470,0.280,2.350
Sachin Dhekane,Fiercey Tigers,,,,3,1.500,0.000,0.840,2.340
Manoj Wagh,Fiercey Tigers,,Right-arm medium,RHB,3,1.900,0.313,0.000,2.213
Amar Toshniwal,Fiercey Tigers,,Right-arm medium,RHB,2,1.700,-0.054,0.000,1.646
Ayush M,Power Hitters,,Right-arm fast,RHB,2,1.000,0.000,0.224,1.224
Jagdeep Deogade,Stormbreakers,None,Right-arm fast,RHB,2,0.600,0.426,0.000,1.026
Chandrakant Vipat,Fiercey Tigers,,Right-arm fast,RHB,4,0.819,0.132,0.000,0.951
Pritam Pashankar,Phoenix Fury,,Left-arm medium,LHB,2,0.700,0.127,0.000,0.827
Abhishek satam,Mighty Bulls,None,Right-arm medium,RHB,1,0.000,0.000,0.700,0.700
