Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Atharva M,ACES,All-Rounder,Right-arm fast,RHB,8,25.634,7.851,5.600,39.085
Abhishek Upare,ELITE EAGLES,All-Rounder,Right-arm Leg Break,RHB,7,19.708,10.219,0.840,30.767
Kishore Soni,KINGS SWAG,,Right-arm fast,RHB,7,23.909,0.171,2.810,26.890
Akash Patil,KINGS SWAG,All-Rounder,Right-arm fast,RHB,7,16.107,4.978,1.680,22.765
Shubham Chougule,ACES,All-Rounder,Right-arm fast,RHB,8,8.381,13.236,0.280,21.897
Sagar Shelar,CHAMPIONS,All-Rounder,Right-arm fast,RHB,6,7.900,7.956,3.594,19.450
Kishor Wagh,TITANS,None,Right-arm medium,RHB,5,9.708,1.368,7.700,18.776
Tanishq Wagh,CHAMPIONS,All-Rounder,Right-arm medium,RHB,6,8.700,5.797,1.680,16.177
Ballal Sanket,TITANS,Middle-order batter,Right-arm fast,RHB,5,9.512,6.497,0.000,16.009
Ashish Naik,ELITE EAGLES,Opening batter,Right-arm Leg Break,RHB,7,9.700,6.089,0.000,15.789
Atharva Patil,KINGS SWAG,All-Rounder,Right-arm fast,RHB,7,5.700,5.958,2.520,14.178
Krushna Malpani,VANAR SENA,All-Rounder,Right-arm medium,RHB,5,6.916,6.904,0.280,14.100
Aditya Agrawal,KINGS SWAG,,Right-arm fast,RHB,7,7.000,6.770,0.280,14.050
Aniruddha Kudal,ACES,Middle-order batter,Right-arm fast,RHB,8,8.560,5.399,0.000,13.959
Akshay Upare,ELITE EAGLES,,Right-arm medium,RHB,7,7.400,6.169,0.280,13.849
Saurabh Thakur,ELITE EAGLES,All-Rounder,Right-arm medium,RHB,7,7.959,5.693,0.000,13.652
Piyush Singh,TITANS,,,,5,5.700,7.359,0.504,13.563
Lavin Raheja,VANAR SENA,Opening batter,Right-arm medium,RHB,5,9.936,2.939,0.280,13.155
Rohit Akhade,ACES,,Right-arm medium,RHB,8,4.001,7.563,1.400,12.964
MANOJ UPADHYAY,CHAMPIONS,All-Rounder,Right-arm medium,RHB,6,5.100,3.445,4.200,12.745
Bhushan Ladda,TITANS,,Right-arm fast,RHB,5,4.364,7.832,0.000,12.196
Jonty K,VANAR SENA,All-Rounder,Right-arm fast,RHB,5,2.379,7.919,1.400,11.698
Raman Toshniwal,CHAMPIONS,All-Rounder,Right-arm fast,RHB,6,9.655,1.936,0.000,11.591
Shripad K,ACES,,Right-arm Off Break,RHB,8,1.600,7.875,0.280,9.755
Yogesh Rane ,KINGS SWAG,,Right-arm medium,RHB,6,2.458,5.799,0.000,8.257
Suhas Kale 702,CHAMPIONS,,Right-arm fast,RHB,6,3.240,3.416,0.560,7.216
Jagdeep Deogade,CHAMPIONS,None,Right-arm fast,RHB,6,0.205,6.607,0.280,7.092
Onkar,ELITE EAGLES,Bowler,Right-arm medium,RHB,7,2.517,4.010,0.560,7.087
Suhas Agawane,KINGS SWAG,,Right-arm medium,LHB,6,0.000,5.235,1.400,6.635
Amit Kesharkar,VANAR SENA,None,Right-arm medium,RHB,3,4.492,0.286,0.000,4.778
Pritesh Sail,ACES,,Right-arm medium,RHB,6,3.072,1.364,0.000,4.436
Siva Varigala (VVS),VANAR SENA,All-Rounder,Right-arm medium,RHB,4,1.200,2.702,0.430,4.332
Arham Lunawat,ACES,,Right-arm medium,RHB,8,0.000,3.021,0.654,3.675
Vinay Satam,ELITE EAGLES,All-Rounder,Right-arm medium,RHB,4,0.730,2.771,0.000,3.501
Ashish Makwana,TITANS,,Right-arm fast,RHB,5,1.600,1.263,0.560,3.423
Tanmay,VANAR SENA,,Right-arm medium,RHB,3,1.100,2.272,0.000,3.372
DrSuhas Dhekane,ACES,,Right-arm Leg Break,RHB,5,3.204,-0.077,0.000,3.127
Pratik Zagade,VANAR SENA,None,Right-arm fast,RHB,5,0.000,2.646,0.280,2.926
Manoj Wagh,CHAMPIONS,,Right-arm medium,RHB,5,0.800,1.515,0.000,2.315
Amar Toshniwal,CHAMPIONS,,Right-arm medium,RHB,2,0.000,1.485,0.700,2.185
Abhishek satam,ELITE EAGLES,None,Right-arm medium,RHB,5,0.000,1.596,0.560,2.156
Aditya Akmar,KINGS SWAG,,Right-arm fast,RHB,7,0.000,1.704,0.224,1.928
Ayush M,KINGS SWAG,,Right-arm fast,RHB,3,0.000,0.101,1.820,1.921
Digesh Panchal,VANAR SENA,,Right-arm medium,RHB,3,1.200,-0.079,0.000,1.121
Saravanan R Subbiah,TITANS,Lower-order batter,Right-arm medium,RHB,3,0.100,0.116,0.700,0.916
Tushar Tonape,TITANS,None,Right-arm medium,RHB,3,0.000,0.424,0.000,0.424
Dilip Achari,ELITE EAGLES,,Right-arm fast,RHB,2,0.000,-0.062,0.280,0.218
Pritam Pashankar,TITANS,,Left-arm medium,LHB,2,0.000,0.123,0.000,0.123
