player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
10765294,Atharva M,9263420,ACES,8,8,254,60,63.50,4,166.01,153,RHB,4,29,2,0
4867029,Kishore Soni,9263395,KINGS SWAG,7,7,239,62,47.80,2,168.31,142,RHB,3,32,1,0
1494410,Abhishek Upare,9263437,ELITE EAGLES,7,7,196,40,49.00,3,134.25,146,RHB,1,23,0,0
13221867,Akash Patil,9263395,KINGS SWAG,7,7,160,37,26.67,1,166.67,96,RHB,5,19,0,0
822917,Lavin Raheja,9263448,VANAR SENA,5,5,99,62,33.00,2,133.78,74,RHB,3,12,1,0
10745523,Kishor Wagh,9263466,TITANS,5,5,97,45,24.25,1,146.97,66,RHB,2,10,0,0
14019875,Ashish Naik,9263437,ELITE EAGLES,7,7,97,28,16.17,1,119.75,81,RHB,3,11,0,0
1883604,Raman Toshniwal,9263485,CHAMPIONS,6,6,95,34,19.00,1,166.67,57,RHB,3,9,0,0
19794211,Ballal Sanket,9263466,TITANS,5,5,94,33,18.80,0,140.30,67,RHB,4,9,0,0
10619512,Tanishq Wagh,9263485,CHAMPIONS,6,6,87,30,21.75,2,126.09,69,RHB,2,10,0,0
3604165,Aniruddha Kudal,9263420,ACES,8,8,85,25,12.14,1,113.33,75,RHB,4,8,0,0
234634,Shubham Chougule,9263420,ACES,8,8,81,33,16.20,3,162.00,50,RHB,2,9,0,0
10765307,Sagar Shelar,9263485,CHAMPIONS,6,6,79,34,15.80,1,103.95,76,RHB,4,7,0,0
26751992,Saurabh Thakur,9263437,ELITE EAGLES,7,7,79,39,15.80,2,154.90,51,RHB,3,8,0,0
10765268,Akshay Upare,9263437,ELITE EAGLES,7,6,74,41,14.80,1,132.14,56,RHB,1,10,0,0
10765116,Aditya Agrawal,9263395,KINGS SWAG,7,7,70,18,10.00,0,134.62,52,RHB,0,11,0,0
234632,Krushna Malpani,9263448,VANAR SENA,5,5,68,32,17.00,1,154.55,44,RHB,1,7,0,0
2642724,Piyush Singh,9263466,TITANS,5,5,57,19,19.00,2,109.62,52,-,1,5,0,0
32365258,Atharva Patil,9263395,KINGS SWAG,7,7,57,16,19.00,4,100.00,57,RHB,2,6,0,0
14298575,Manoj Upadhyay,9263485,CHAMPIONS,6,6,51,13,8.50,0,87.93,58,RHB,4,2,0,0
10765325,Amit Kesharkar,9263448,VANAR SENA,5,3,43,25,21.50,1,165.38,26,RHB,0,5,0,0
20788786,Bhushan Ladda,9263466,TITANS,5,5,42,14,8.40,0,150.00,28,RHB,1,5,0,0
10765311,Rohit Akhade,9263420,ACES,8,8,40,25,20.00,6,90.91,44,RHB,4,1,0,0
16898163,Drsuhas Dhekane,9263420,ACES,8,5,32,18,6.40,0,88.89,36,RHB,2,3,0,0
32766099,Suhas Kale 702,9263485,CHAMPIONS,6,6,32,30,8.00,2,123.08,26,RHB,3,3,0,0
16890310,Pritesh Sail,9263420,ACES,8,4,30,18,7.50,0,130.43,23,RHB,2,3,0,0
10745512,Onkar,9263437,ELITE EAGLES,7,4,25,23,8.33,1,108.70,23,RHB,1,3,0,0
20273947,Yogesh Rane,9263395,KINGS SWAG,7,4,24,16,8.00,1,171.43,14,RHB,0,3,0,0
19892409,Jonty K,9263448,VANAR SENA,5,5,23,19,7.67,2,127.78,18,RHB,0,3,0,0
16898071,Shripad K,9263420,ACES,8,2,16,16,-,2,94.12,17,RHB,0,2,0,0
10765292,Ashish Makwana,9263466,TITANS,5,5,16,6,8.00,3,64.00,25,RHB,1,1,0,0
16889668,Digesh Panchal,9263448,VANAR SENA,5,3,12,10,6.00,1,52.17,23,RHB,0,1,0,0
4962614,Siva Varigala (vvs),9263448,VANAR SENA,5,5,12,7,3.00,1,48.00,25,RHB,1,0,0,0
32388597,Tanmay,9263448,VANAR SENA,5,5,11,7,2.75,1,52.38,21,RHB,0,1,0,0
14298782,Manoj Wagh,9263485,CHAMPIONS,6,5,8,6,2.67,2,61.54,13,RHB,0,1,0,0
14298851,Vinay Satam,9263437,ELITE EAGLES,7,4,6,6,3.00,2,150.00,4,RHB,0,1,0,0
10765297,Jagdeep Deogade,9263485,CHAMPIONS,6,2,2,2,-,2,100.00,2,RHB,0,0,0,0
27287816,Saravanan R Subbiah,9263466,TITANS,5,2,1,1,-,2,100.00,1,RHB,0,0,0,0
10765262,Pratik Zagade,9263448,VANAR SENA,5,1,0,0,-,0,0.00,5,RHB,0,0,0,0
1669464,Abhishek Satam,9263437,ELITE EAGLES,7,1,0,0,-,0,0.00,1,RHB,0,0,0,0
10765288,Dilip Achari,9263437,ELITE EAGLES,7,1,0,0,-,1,0.00,1,RHB,0,0,0,0
10814023,Ayush M,9263395,KINGS SWAG,7,1,0,0,-,0,0.00,1,RHB,0,0,0,0
17653956,Arham Lunawat,9263420,ACES,8,1,0,0,-,0,0.00,1,RHB,0,0,0,0
14298775,Non Striker,9263420,ACES,15,1,0,0,-,1,0.00,1,RHB,0,0,0,0
14299002,Pritam Pashankar,9263466,TITANS,5,2,0,0,-,0,0.00,4,LHB,0,0,0,0
16888722,Amar Toshniwal,9263485,CHAMPIONS,6,2,0,0,-,1,0.00,1,RHB,0,0,0,0
10765261,Aditya Akmar,9263395,KINGS SWAG,7,2,0,0,-,2,0.00,2,RHB,0,0,0,0
10765317,Suhas Agawane,9263395,KINGS SWAG,7,4,0,0,-,2,0.00,5,LHB,0,0,0,0
14906098,Tushar Tonape,9263466,TITANS,5,0,0,0,-,0,0,0,RHB,0,0,0,0
