Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Atharva M,CARRERA KINGS,All-Rounder,Right-arm fast,RHB,8,16.818,12.225,5.004,34.047
Lavin Raheja,SILENT KILLERS,Opening batter,Right-arm medium,RHB,7,17.600,11.168,2.464,31.232
Raman Toshniwal,BAJRANG WARRIORS,All-Rounder,Right-arm fast,RHB,7,12.403,15.984,1.438,29.825
Abhishek Upare,CARRERA KINGS,All-Rounder,Right-arm Leg Break,RHB,8,18.090,7.666,2.390,28.146
Akash Patil,BAJRANG WARRIORS,All-Rounder,Right-arm fast,RHB,7,19.945,5.283,1.942,27.170
Krushna Malpani,SUPER KINGS,All-Rounder,Right-arm medium,RHB,6,16.344,6.797,1.260,24.401
Saurabh Mantri,SILENT KILLERS,Top-order batter,Right-arm fast,RHB,7,13.631,3.017,1.214,17.862
MANOJ UPADHYAY,BAJRANG WARRIORS,All-Rounder,Right-arm medium,RHB,6,6.500,8.858,2.008,17.366
Atharva Patil,CARRERA KINGS,All-Rounder,Right-arm fast,RHB,8,8.577,5.506,2.520,16.603
Bhushan Ladda,SUPER KINGS,,Right-arm fast,RHB,6,10.413,4.992,0.710,16.115
Kishore Soni,BRAHMASTRA BLASTERS,,Right-arm fast,RHB,5,8.539,3.744,1.960,14.243
Ballal Sanket,SILENT KILLERS,Middle-order batter,Right-arm fast,RHB,7,6.865,5.448,0.990,13.303
Tanishq Wagh,SUPER KINGS,All-Rounder,Right-arm medium,RHB,6,6.266,5.713,0.980,12.959
Akshay Upare,BAJRANG WARRIORS,,Right-arm medium,RHB,7,9.406,3.028,0.280,12.714
Jonty K,BRAHMASTRA BLASTERS,All-Rounder,Right-arm fast,RHB,5,3.100,6.585,2.464,12.149
DrSuhas Dhekane,SUPER KINGS,,Right-arm Leg Break,RHB,6,9.411,2.202,0.430,12.043
Sagar Shelar,POC9,All-Rounder,Right-arm fast,RHB,5,4.500,5.857,1.120,11.477
Aditya Agrawal,POC9,,Right-arm fast,RHB,5,6.643,4.330,0.280,11.253
Dinesh,CARRERA KINGS,,Right-arm medium,RHB,7,3.722,4.499,1.680,9.901
Ashish Makwana,BAJRANG WARRIORS,,Right-arm fast,RHB,7,1.500,4.964,2.744,9.208
Rohit Akhade,POC9,,Right-arm medium,RHB,5,3.702,5.078,0.000,8.780
Aditya Akmar,POC9,,Right-arm fast,RHB,5,4.700,2.944,1.120,8.764
Abhishek satam,BRAHMASTRA BLASTERS,None,Right-arm medium,RHB,4,2.495,5.481,0.560,8.536
Amit Kesharkar,CARRERA KINGS,None,Right-arm medium,RHB,8,5.307,2.585,0.280,8.172
Saravanan R Subbiah,BRAHMASTRA BLASTERS,Lower-order batter,Right-arm medium,RHB,5,1.000,7.132,0.000,8.132
Suhas Kale 702,BRAHMASTRA BLASTERS,,Right-arm fast,RHB,5,4.944,2.506,0.000,7.450
Onkar,POC9,Bowler,Right-arm medium,RHB,5,3.210,3.104,0.840,7.154
Atharva Soni,SILENT KILLERS,,Right-arm medium,RHB,6,4.653,1.318,0.860,6.831
Yogesh Rane ,SUPER KINGS,,Right-arm medium,RHB,6,1.800,4.954,0.000,6.754
Shripad K,SILENT KILLERS,,Right-arm Off Break,RHB,7,1.242,5.092,0.280,6.614
Vinay Satam,SILENT KILLERS,All-Rounder,Right-arm medium,RHB,4,0.425,5.831,0.224,6.480
Arham Lunawat,SILENT KILLERS,,Right-arm Leg Break,RHB,7,0.000,4.013,2.240,6.253
Pritam Pashankar,BAJRANG WARRIORS,,Left-arm medium,LHB,5,2.777,3.457,0.000,6.234
Saurabh Thakur,BRAHMASTRA BLASTERS,All-Rounder,Right-arm medium,RHB,5,4.600,1.335,0.000,5.935
Aniruddha Kudal,POC9,Middle-order batter,Right-arm fast,RHB,5,4.902,0.472,0.560,5.934
Abhishek Achari,SUPER KINGS,,Right-arm medium,RHB,6,0.400,4.287,0.840,5.527
Vijaykumar Tonape,CARRERA KINGS,None,Right-arm fast,RHB,7,1.000,1.844,2.520,5.364
Dilip Achari,CARRERA KINGS,,Right-arm fast,RHB,6,1.200,2.520,0.430,4.150
Suhas Agawane,SUPER KINGS,,Right-arm medium,LHB,5,0.701,3.366,0.000,4.067
Digesh Panchal,BAJRANG WARRIORS,,Right-arm medium,RHB,6,0.600,2.279,0.700,3.579
Pranesh Dixith,POC9,None,Right-arm medium,RHB,3,1.800,1.778,0.000,3.578
Ayush M,BRAHMASTRA BLASTERS,,Right-arm fast,RHB,4,0.200,-0.135,1.568,1.633
Tushar Tonape,CARRERA KINGS,None,Right-arm medium,RHB,1,0.000,0.140,0.430,0.570
