Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Bhushan Ladda,TEAM SHOOTERS,,Right-arm fast,RHB,7,19.974,3.957,0.924,24.855
DrSuhas Dhekane,GULLY BOYS,,Right-arm Leg Break,RHB,6,19.435,4.895,0.000,24.330
Lavin Raheja,TOP GUNS,Opening batter,Right-arm medium,RHB,5,8.000,9.933,0.410,18.343
Atharva M,TEAM SHOOTERS,All-Rounder,Right-arm fast,RHB,7,9.029,8.681,0.420,18.130
Ballal Sanket,GULLY BOYS,Middle-order batter,Right-arm fast,RHB,6,7.112,9.256,1.250,17.618
Abhay Patil,MAVERICKS,,Right-arm fast,RHB,6,10.496,5.601,1.204,17.301
Saurabh Mantri,GULLY BOYS,Top-order batter,Right-arm fast,RHB,6,12.900,1.958,1.848,16.706
Kishore Soni,TEAM SHOOTERS,,Right-arm fast,RHB,7,11.738,4.597,0.000,16.335
Krushna Malpani,MAVERICKS,All-Rounder,Right-arm medium,RHB,6,4.000,6.861,4.648,15.509
Jonty K,TEAM SHOOTERS,All-Rounder,Right-arm fast,RHB,7,7.169,5.053,2.940,15.162
Kishor Wagh,GULLY BOYS,None,Right-arm medium,RHB,6,6.338,7.457,0.504,14.299
MANOJ UPADHYAY,POC6,All-Rounder,Right-arm medium,RHB,4,8.156,1.877,3.780,13.813
Rohit Akhade,TOP GUNS,,Right-arm medium,RHB,5,7.455,5.500,0.700,13.655
Siva Varigala (VVS),MAVERICKS,All-Rounder,Right-arm medium,RHB,6,6.737,6.557,0.000,13.294
Abhishek Axhari,MAVERICKS,,Right-arm fast,RHB,6,5.209,6.320,1.400,12.929
Manoj Wagh,TEAM SHOOTERS,,Right-arm medium,RHB,7,3.445,8.519,0.700,12.664
Aditya Agrawal,MAVERICKS,,Right-arm fast,RHB,6,10.043,-0.031,1.120,11.132
Tanishq Wagh,TOP GUNS,All-Rounder,Right-arm medium,RHB,5,6.011,3.246,1.260,10.517
Akshay Upare,POC6,,Right-arm medium,RHB,4,8.135,1.728,0.000,9.863
Shree,JOKERS,None,Right-arm fast,RHB,4,1.700,5.973,1.400,9.073
Anvit Bhosale,MAVERICKS,,Right-arm medium,RHB,5,2.525,5.547,0.420,8.492
Raman Toshniwal,GULLY BOYS,All-Rounder,Right-arm fast,RHB,6,0.700,4.578,3.154,8.432
Sagar Shelar,JOKERS,All-Rounder,Right-arm fast,RHB,4,4.500,2.938,0.980,8.418
Jagdeep Deogade,GULLY BOYS,None,Right-arm fast,RHB,6,0.400,6.222,1.680,8.302
Onkar,JOKERS,Bowler,Right-arm medium,RHB,4,3.300,3.531,1.344,8.175
Yogesh Rane ,JOKERS,,Right-arm medium,RHB,4,4.928,1.784,0.700,7.412
Yogesh Angulwa,TOP GUNS,Top-order batter,Right-arm medium,RHB,5,0.733,3.193,2.612,6.538
Vinay Satam,JOKERS,All-Rounder,Right-arm medium,RHB,4,6.197,0.000,0.000,6.197
Ashish Makwana,TOP GUNS,,Right-arm fast,RHB,5,3.218,1.593,0.700,5.511
Aniket Wadkar,MAVERICKS,,Left-arm medium,LHB,6,1.252,3.497,0.280,5.029
Suhas Agawane,POC6,,Right-arm medium,LHB,4,0.400,4.459,0.000,4.859
Aniruddha Kudal,POC6,Middle-order batter,Right-arm fast,RHB,4,0.300,2.874,1.540,4.714
Saurabh Thakur,POC6,All-Rounder,Right-arm medium,RHB,3,4.133,-0.060,0.000,4.073
Abhishek satam,JOKERS,None,Right-arm medium,RHB,2,2.100,1.327,0.280,3.707
Digesh Panchal,TOP GUNS,,Right-arm medium,RHB,4,2.095,0.352,0.980,3.427
Amit Kesharkar,JOKERS,None,Right-arm medium,RHB,4,1.613,1.215,0.000,2.828
Ashish Naik,POC6,Opening batter,Right-arm Leg Break,RHB,4,1.937,0.466,0.000,2.403
Vijaykumar Tonape,TEAM SHOOTERS,,Right-arm medium,RHB,6,0.000,1.774,0.560,2.334
Chandrakant Vipat,TOP GUNS,,Right-arm fast,RHB,5,0.700,1.569,0.000,2.269
Arham Lunawat,JOKERS,,Right-arm medium,RHB,3,0.000,1.563,0.560,2.123
Parth wagh,GULLY BOYS,,Right-arm medium,,2,0.000,1.689,0.280,1.969
Pritam Pashankar,TEAM SHOOTERS,,Left-arm medium,LHB,4,0.000,1.367,0.000,1.367
Pritesh Sail,POC6,,Right-arm medium,RHB,4,1.000,-0.201,0.280,1.079
Hemant Chaudhari,MAVERICKS,,Right-arm medium,RHB,2,0.400,0.366,0.000,0.766
Adwait Bhosale,TOP GUNS,,,RHB,2,0.100,0.000,0.560,0.660
Pratik Zagade,POC6,None,Right-arm fast,RHB,3,0.200,0.021,0.224,0.445
Saravanan R Subbiah,TEAM SHOOTERS,Lower-order batter,Right-arm medium,RHB,3,0.300,0.000,0.000,0.300
