player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
20788786,Bhushan Ladda,6613942,TEAM SHOOTERS,7,7,199,63,49.75,3,157.94,126,RHB,3,26,2,0
16898163,Drsuhas Dhekane,6613936,GULLY BOYS,6,5,191,87,63.67,2,207.61,92,RHB,6,24,1,0
16845639,Saurabh Mantri,6613936,GULLY BOYS,6,6,129,53,21.50,0,117.27,110,RHB,7,8,1,0
4867029,Kishore Soni,6613942,TEAM SHOOTERS,7,7,115,35,19.17,1,136.90,84,RHB,1,14,0,0
14299007,Abhay Patil,6613939,MAVERICKS,6,5,103,43,34.33,2,163.49,63,RHB,6,9,0,0
10765116,Aditya Agrawal,6613939,MAVERICKS,6,6,99,31,16.50,0,180.00,55,RHB,3,13,0,0
10765294,Atharva M,6613942,TEAM SHOOTERS,7,7,90,39,12.86,0,142.86,63,RHB,4,11,0,0
10765268,Akshay Upare,6613941,POC6,4,4,81,38,20.25,0,147.27,55,RHB,1,11,0,0
14298575,Manoj Upadhyay,6613941,POC6,4,4,80,54,20.00,0,195.12,41,RHB,2,11,1,0
822917,Lavin Raheja,6613946,TOP GUNS,5,5,80,28,26.67,2,81.63,98,RHB,3,7,0,0
10765311,Rohit Akhade,6613946,TOP GUNS,5,5,73,58,24.33,2,208.57,35,RHB,4,8,1,0
19794211,Ballal Sanket,6613936,GULLY BOYS,6,6,71,18,23.67,3,131.48,54,RHB,5,6,0,0
19892409,Jounty,6613942,TEAM SHOOTERS,7,7,69,30,13.80,2,186.49,37,RHB,1,10,0,0
4962614,Siva Kohler,6613939,MAVERICKS,6,6,67,28,33.50,4,98.53,68,RHB,2,6,0,0
10745523,Kishor Wagh,6613936,GULLY BOYS,6,6,61,32,15.25,2,160.53,38,RHB,1,8,0,0
14298851,Vinay Satam,6613938,JOKERS,4,4,60,22,30.00,2,171.43,35,RHB,1,7,0,0
10619512,Tanishq Wagh,6613946,TOP GUNS,5,5,59,26,11.80,0,122.92,48,RHB,1,8,0,0
6608477,Abhishek Axhari,6613939,MAVERICKS,6,5,51,26,17.00,2,159.38,32,RHB,2,6,0,0
20273947,Yogesh Rane,6613938,JOKERS,4,4,48,19,16.00,1,160.00,30,RHB,0,7,0,0
10765307,Sagar Shelar,6613938,JOKERS,4,4,45,19,11.25,0,109.76,41,RHB,0,5,0,0
26751992,Saurabh Thakur,6613941,POC6,4,3,41,17,13.67,0,117.14,35,RHB,1,5,0,0
234632,Krushna Malpani,6613939,MAVERICKS,6,6,40,15,8.00,1,74.07,54,RHB,0,4,0,0
14298782,Manoj Wagh,6613942,TEAM SHOOTERS,7,7,34,14,4.86,0,82.93,41,RHB,0,4,0,0
10745512,Onkar,6613938,JOKERS,4,4,33,19,11.00,1,100.00,33,RHB,2,3,0,0
10765292,Ashish Makwana,6613946,TOP GUNS,5,3,32,27,32.00,2,145.45,22,RHB,1,4,0,0
29266041,Anvit Bhosale,6613939,MAVERICKS,6,5,25,12,5.00,0,147.06,17,RHB,1,3,0,0
1669464,Abhishek Satam,6613938,JOKERS,4,3,21,20,7.00,0,87.50,24,RHB,1,2,0,0
16889668,Digesh Panchal,6613946,TOP GUNS,5,3,20,20,20.00,2,200.00,10,RHB,0,3,0,0
14019875,Ashish Naik,6613941,POC6,4,4,19,10,6.33,1,90.48,21,RHB,0,2,0,0
16985185,Shree,6613938,JOKERS,4,4,17,6,5.67,1,85.00,20,RHB,3,0,0,0
10765325,Amit Kesharkar,6613938,JOKERS,4,3,16,10,16.00,2,145.45,11,RHB,0,2,0,0
16898156,Aniket Wadkar,6613939,MAVERICKS,6,2,12,6,12.00,1,300.00,4,LHB,0,2,0,0
16890310,Pritesh Sail,6613941,POC6,4,3,10,7,10.00,2,62.50,16,RHB,1,0,0,0
10765284,Chandrakant Vipat,6613946,TOP GUNS,5,2,7,7,-,2,87.50,8,RHB,0,0,0,0
20206025,Yogesh Angulwar Amdocs,6613946,TOP GUNS,5,3,7,7,2.33,0,87.50,8,RHB,0,1,0,0
1883604,Raman Toshniwal,6613936,GULLY BOYS,6,5,7,3,2.33,2,36.84,19,RHB,0,0,0,0
24517164,Hemant Chaudhari,6613939,MAVERICKS,6,1,4,4,-,1,100.00,4,RHB,1,0,0,0
10765317,Suhas Agawane,6613941,POC6,4,3,4,2,4.00,2,66.67,6,LHB,0,0,0,0
10765297,Jagdeep,6613936,GULLY BOYS,6,3,4,2,-,3,80.00,5,RHB,0,0,0,0
3604165,Aniruddha Kudal,6613941,POC6,4,3,3,3,1.00,0,21.43,14,RHB,0,0,0,0
27287816,Saravanan R Subbiah,6613942,TEAM SHOOTERS,7,5,3,1,-,5,25.00,12,RHB,0,0,0,0
10765262,Pratik Zagade,6613941,POC6,4,2,2,2,2.00,1,25.00,8,RHB,0,0,0,0
29269509,Adwait Bhosale,6613946,TOP GUNS,5,2,1,1,0.50,0,33.33,3,RHB,0,0,0,0
29595933,Vijaykumar Tonape,6613942,TEAM SHOOTERS,7,1,0,0,-,0,0.00,8,RHB,0,0,0,0
14299002,Pritam Pashankar,6613942,TEAM SHOOTERS,7,2,0,0,-,2,0.00,4,LHB,0,0,0,0
17653956,Arham Lunawat,6613938,JOKERS,4,0,0,0,-,0,0,0,RHB,0,0,0,0
10765288,Dilip Achari,6613936,GULLY BOYS,6,0,0,0,-,0,0,0,RHB,0,0,0,0
29273782,Parth Wagh,6613936,GULLY BOYS,6,0,0,0,-,0,0,0,-,0,0,0,0
